country,volatility,spike_months
Greenland,1.308,12
"British Virgin Islands",1.401,7
"Brunei Darussalam",1.786,12
Switzerland,1.836,10
Bermuda,1.853,19
Reunion,2.018,20
"French Guiana",2.056,20
Malaysia,2.12,12
Guadeloupe,2.152,16
Qatar,2.153,4
Martinique,2.27,16
Singapore,2.369,17
"New Caledonia",2.386,14
Luxembourg,2.407,16
Australia,2.418,15
"Cayman Islands",2.442,16
"Puerto Rico",2.608,20
"French Polynesia",2.647,14
World,2.674,16
Japan,2.691,17
Canada,2.702,22
Italy,2.724,16
Mexico,2.777,15
Andorra,2.815,19
"Papua New Guinea",2.816,5
"North America",2.817,14
Bangladesh,2.829,16
Albania,2.876,16
"United States",2.881,13
Dominica,2.926,20
Philippines,2.954,14
"United Arab Emirates",2.982,8
Tunisia,2.995,18
"San Marino",3.037,18
"Antigua and Barbuda",3.057,14
Austria,3.076,15
France,3.086,13
Gabon,3.106,5
"Korea, Rep.",3.122,12
"Bahamas, The",3.122,14
Malta,3.137,15
Cameroon,3.26,17
Belgium,3.296,15
Norway,3.3,13
India,3.315,12
Montserrat,3.319,15
Kuwait,3.321,10
Spain,3.363,18
Israel,3.374,10
Guam,3.398,6
Denmark,3.458,15
"Saudi Arabia",3.507,16
"New Zealand",3.51,16
Bahrain,3.579,15
Sweden,3.618,14
"Aland Islands",3.716,13
Greece,3.732,19
Panama,3.738,16
Netherlands,3.746,14
Ireland,3.795,13
Guatemala,3.843,6
Grenada,3.852,16
Fiji,3.859,9
Peru,3.866,16
Germany,3.871,14
"Congo, Rep.",3.92,10
"El Salvador",3.943,15
Portugal,3.949,13
Morocco,3.951,15
"Equatorial Guinea",3.983,7
Cyprus,3.986,6
Finland,3.99,13
Bhutan,4.019,13
"South Asia",4.11,11
"Macao SAR, China",4.154,13
Anguilla,4.18,21
"St. Lucia",4.188,8
"United Kingdom",4.241,17
"Cook Islands",4.289,15
Mauritania,4.324,21
"St. Vincent and the Grenadines",4.337,19
Namibia,4.344,12
"Cabo Verde",4.357,15
Slovenia,4.397,16
Belize,4.494,20
"South Africa",4.515,12
Aruba,4.556,14
Croatia,4.559,18
Honduras,4.577,20
Poland,4.667,15
"Hong Kong SAR, China",4.712,18
Indonesia,4.748,14
Tonga,4.752,4
Vanuatu,4.792,14
Algeria,4.797,8
Nepal,4.808,16
Jordan,4.865,16
"Cote d'Ivoire",4.906,11
Thailand,4.932,8
Senegal,4.935,13
Tanzania,4.947,14
Curacao,4.97,8
"Micronesia, Fed. Sts.",5.02,14
Guinea-Bissau,5.027,12
Montenegro,5.027,13
Armenia,5.073,13
"St. Kitts and Nevis",5.119,5
Mauritius,5.128,14
Timor-Leste,5.14,17
Oman,5.16,14
Brazil,5.167,10
Somalia,5.199,11
Botswana,5.256,19
Chile,5.358,21
"Gambia, The",5.363,24
Czechia,5.494,13
Comoros,5.592,10
"Bosnia and Herzegovina",5.662,15
"Slovak Republic",5.687,15
China,5.689,16
Barbados,5.701,15
Kazakhstan,5.755,18
Nicaragua,5.779,12
Colombia,5.954,16
Benin,5.987,11
Palau,6.009,17
Kenya,6.067,17
Uruguay,6.078,13
Iceland,6.14,12
Mali,6.174,9
Djibouti,6.184,15
"North Macedonia",6.233,19
Jamaica,6.233,18
Eswatini,6.257,7
Estonia,6.318,16
"Russian Federation",6.576,11
Latvia,6.714,20
Zambia,6.747,11
Mozambique,6.808,11
Georgia,6.834,12
Bulgaria,6.88,24
Niger,6.956,16
Bolivia,7.03,16
"Costa Rica",7.085,12
Lithuania,7.308,13
Togo,7.312,9
Iraq,7.326,18
"Solomon Islands",7.348,12
"Yemen, Rep.",7.537,8
Paraguay,7.576,13
Moldova,7.61,12
Cambodia,7.637,11
Samoa,7.64,15
Uganda,7.873,13
Azerbaijan,7.979,9
Madagascar,8.128,10
Hungary,8.344,12
"Burkina Faso",8.399,17
"Sao Tome and Principe",8.474,13
Maldives,8.624,18
"Trinidad and Tobago",8.68,11
Nigeria,8.699,19
Romania,8.754,13
Uzbekistan,8.879,22
Chad,8.959,7
"Viet Nam",9.082,18
Kiribati,9.235,13
Liberia,9.322,8
Pakistan,9.707,18
Lesotho,9.728,11
Mongolia,9.77,10
"Lao PDR",9.874,12
"Kyrgyz Republic",10.552,19
Malawi,10.768,16
Tajikistan,10.891,12
Guinea,11.565,22
"Sierra Leone",11.893,19
Ukraine,11.969,19
Afghanistan,11.973,8
Haiti,12.256,15
Seychelles,12.795,19
Rwanda,13.03,9
Burundi,13.407,22
Ghana,13.724,19
"Sri Lanka",13.755,12
Libya,14.072,14
"Egypt, Arab Rep.",14.31,15
Ecuador,15.125,11
"Dominican Republic",15.398,13
Myanmar,15.739,19
Ethiopia,17.245,7
"West Bank and Gaza",17.93,8
"Iran, Islamic Rep.",19.437,19
Suriname,22.846,19
Turkiye,22.916,25
Belarus,24.603,18
Serbia,25.48,10
Angola,32.13,21
"Syrian Arab Republic",45.138,20
Argentina,54.865,15
Sudan,60.029,15
"Congo, Dem. Rep.",109.848,10
Lebanon,110.904,25
"South Sudan",112.722,13
Zimbabwe,171.976,14
"Venezuela, RB",40665.523,8
